Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe,SPY Buy/Hold Result,SPY Sharpe,SPY Delta
2012-08-18 00:00:00,2013-08-18 00:00:00,2012-08-21 00:00:00,2013-08-16 00:00:00,6.63,5.82,0.81,0.992197,0.352619,19.59,1.615183,-12.96
2003-07-15 00:00:00,2004-07-14 00:00:00,2003-07-16 00:00:00,2004-07-13 00:00:00,34.44,-28.84,63.28,1.719055,-0.415905,13.72,1.170239,20.72
2014-07-23 00:00:00,2015-07-23 00:00:00,2014-07-24 00:00:00,2015-07-22 00:00:00,-0.99,9.03,-10.02,-0.092063,0.449261,8.5,0.736831,-9.49
2013-08-10 00:00:00,2014-08-10 00:00:00,2013-08-13 00:00:00,2014-08-08 00:00:00,-1.08,34.36,-35.44,-0.232489,1.350569,16.17,1.501596,-17.25
2003-05-06 00:00:00,2004-05-05 00:00:00,2003-05-07 00:00:00,2004-05-04 00:00:00,-16.59,34.27,-50.86,-0.236124,0.77082,21.88,1.63494,-38.47
2005-04-05 00:00:00,2006-04-05 00:00:00,2005-04-06 00:00:00,2006-04-04 00:00:00,-13.24,159.79,-173.03,-1.079441,2.91691,12.03,1.172611,-25.27
2016-06-12 00:00:00,2017-06-12 00:00:00,2016-06-14 00:00:00,2017-06-09 00:00:00,9.5,220.92,-211.42,0.860008,2.586997,19.42,1.9358,-9.92
2006-02-08 00:00:00,2007-02-08 00:00:00,2006-02-09 00:00:00,2007-02-07 00:00:00,-1.8,57.78,-59.58,-0.011168,1.184187,17.0,1.700981,-18.8
2014-07-02 00:00:00,2015-07-02 00:00:00,2014-07-03 00:00:00,2015-07-01 00:00:00,-1.88,10.09,-11.97,-0.201247,0.482326,6.75,0.607584,-8.63
2007-05-17 00:00:00,2008-05-16 00:00:00,2007-05-18 00:00:00,2008-05-15 00:00:00,13.26,1.86,11.4,0.558393,0.328062,-4.79,-0.161504,18.05
2008-01-11 00:00:00,2009-01-10 00:00:00,2008-01-14 00:00:00,2009-01-09 00:00:00,36.24,-72.51,108.75,0.891161,-1.128169,-35.42,-0.85017,71.66
2024-06-22 00:00:00,2025-06-22 00:00:00,2024-06-25 00:00:00,2025-06-20 00:00:00,-2.88,14.12,-17.0,-0.091291,0.521819,10.43,0.592938,-13.31
2017-07-19 00:00:00,2018-07-19 00:00:00,2017-07-20 00:00:00,2018-07-18 00:00:00,10.14,50.69,-40.55,0.88868,1.312003,15.87,1.247022,-5.73
2003-09-07 00:00:00,2004-09-06 00:00:00,2003-09-09 00:00:00,2004-09-03 00:00:00,20.46,-38.19,58.65,1.050843,-0.483641,10.58,0.933577,9.88
2021-09-28 00:00:00,2022-09-28 00:00:00,2021-09-29 00:00:00,2022-09-27 00:00:00,10.56,-39.45,50.01,0.517391,-0.504475,-15.09,-0.648514,25.65
2011-02-11 00:00:00,2012-02-11 00:00:00,2011-02-14 00:00:00,2012-02-10 00:00:00,-25.21,-31.2,5.99,-1.816286,-0.464205,2.81,0.23648,-28.02
2011-12-18 00:00:00,2012-12-17 00:00:00,2011-12-20 00:00:00,2012-12-14 00:00:00,5.13,-8.84,13.97,0.658596,-0.130158,16.38,1.286573,-11.25
2021-01-24 00:00:00,2022-01-24 00:00:00,2021-01-26 00:00:00,2022-01-21 00:00:00,4.88,74.13,-69.25,0.40715,1.453264,15.64,1.161969,-10.76
2020-04-30 00:00:00,2021-04-30 00:00:00,2020-05-01 00:00:00,2021-04-29 00:00:00,-4.64,117.08,-121.72,-0.469373,2.012936,50.92,2.46672,-55.56
