Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe
2018-10-19 00:00:00,2019-10-19 00:00:00,2018-10-22 00:00:00,2019-10-18 00:00:00,-2.65,10.5,-13.15,-0.181283,0.697747
2015-09-24 00:00:00,2016-09-23 00:00:00,2015-09-25 00:00:00,2016-09-22 00:00:00,16.34,15.04,1.3,2.306413,1.035431
2001-10-14 00:00:00,2002-10-14 00:00:00,2001-10-16 00:00:00,2002-10-11 00:00:00,3.98,-22.38,26.36,0.363676,-0.879036
2007-01-09 00:00:00,2008-01-09 00:00:00,2007-01-10 00:00:00,2008-01-08 00:00:00,3.4,-0.05,3.45,0.452076,0.078052
2009-08-16 00:00:00,2010-08-16 00:00:00,2009-08-18 00:00:00,2010-08-13 00:00:00,-5.68,11.4,-17.08,-0.640207,0.679185
2003-06-16 00:00:00,2004-06-15 00:00:00,2003-06-17 00:00:00,2004-06-14 00:00:00,-4.07,13.13,-17.2,-0.732466,1.080851
2006-07-09 00:00:00,2007-07-09 00:00:00,2006-07-11 00:00:00,2007-07-06 00:00:00,3.12,22.27,-19.15,1.162513,2.057809
2020-12-07 00:00:00,2021-12-07 00:00:00,2020-12-08 00:00:00,2021-12-06 00:00:00,11.94,25.69,-13.75,1.288347,1.908549
2006-09-21 00:00:00,2007-09-21 00:00:00,2006-09-22 00:00:00,2007-09-20 00:00:00,4.71,17.44,-12.73,0.949273,1.31983
2010-10-04 00:00:00,2011-10-04 00:00:00,2010-10-05 00:00:00,2011-10-03 00:00:00,-2.34,-3.38,1.04,-0.130211,-0.074248
