Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe
2022-03-30 00:00:00,2023-03-30 00:00:00,2022-03-31 00:00:00,2023-03-29 00:00:00,9.02,-9.63,18.65,0.572607,-0.321121
2001-11-20 00:00:00,2002-11-20 00:00:00,2001-11-21 00:00:00,2002-11-19 00:00:00,-5.62,-19.63,14.01,-0.3694,-0.7143
2007-04-11 00:00:00,2008-04-10 00:00:00,2007-04-12 00:00:00,2008-04-09 00:00:00,1.45,-4.28,5.73,0.184605,-0.14124
2007-01-27 00:00:00,2008-01-27 00:00:00,2007-01-30 00:00:00,2008-01-25 00:00:00,0.82,-5.11,5.93,0.135966,-0.229066
2012-10-18 00:00:00,2013-10-18 00:00:00,2012-10-19 00:00:00,2013-10-17 00:00:00,11.6,23.45,-11.85,2.350044,1.863015
2003-10-16 00:00:00,2004-10-15 00:00:00,2003-10-17 00:00:00,2004-10-14 00:00:00,1.76,7.83,-6.07,0.449205,0.732573
2019-10-24 00:00:00,2020-10-23 00:00:00,2019-10-25 00:00:00,2020-10-22 00:00:00,-34.56,16.47,-51.03,-1.531751,0.63205
2021-12-13 00:00:00,2022-12-13 00:00:00,2021-12-14 00:00:00,2022-12-12 00:00:00,11.13,-12.6,23.73,0.649106,-0.440948
2015-05-11 00:00:00,2016-05-10 00:00:00,2015-05-12 00:00:00,2016-05-09 00:00:00,9.16,0.14,9.02,0.945692,0.091523
2005-09-15 00:00:00,2006-09-15 00:00:00,2005-09-16 00:00:00,2006-09-14 00:00:00,1.6,8.54,-6.94,0.434156,0.818179
2022-11-30 00:00:00,2023-11-30 00:00:00,2022-12-01 00:00:00,2023-11-29 00:00:00,5.71,13.35,-7.64,0.641206,0.982366
2009-09-13 00:00:00,2010-09-13 00:00:00,2009-09-15 00:00:00,2010-09-10 00:00:00,-2.18,7.47,-9.65,-0.193291,0.480164
2005-07-06 00:00:00,2006-07-06 00:00:00,2005-07-07 00:00:00,2006-07-05 00:00:00,2.14,7.85,-5.71,0.574526,0.767504
2023-02-24 00:00:00,2024-02-24 00:00:00,2023-02-27 00:00:00,2024-02-23 00:00:00,13.44,29.63,-16.19,1.632226,2.187294
