Input Start Date,Input End Date,Start Date,End Date,Model Result,Buy/Hold Result,Delta,Model Sharpe,Buy/Hold Sharpe
2000-07-29,2001-07-29,2000-08-01 00:00:00,2001-07-27 00:00:00,-2.82,-15.09,12.27,-0.13393,-0.627805
2019-03-13 00:00:00,2020-03-12 00:00:00,2019-03-14 00:00:00,2020-03-11 00:00:00,-6.47,-0.57,-5.9,-0.349109,0.064135
2002-10-14 00:00:00,2003-10-14 00:00:00,2002-10-15 00:00:00,2003-10-13 00:00:00,3.16,20.21,-17.05,0.382224,1.075941
2012-12-14 00:00:00,2013-12-14 00:00:00,2012-12-17 00:00:00,2013-12-13 00:00:00,12.01,26.6,-14.59,2.550186,2.164247
2002-08-19 00:00:00,2003-08-19 00:00:00,2002-08-20 00:00:00,2003-08-18 00:00:00,8.6,8.28,0.32,0.778472,0.465253
2005-12-18 00:00:00,2006-12-18 00:00:00,2005-12-20 00:00:00,2006-12-15 00:00:00,1.58,15.21,-13.63,0.54342,1.47434
2006-06-05 00:00:00,2007-06-05 00:00:00,2006-06-06 00:00:00,2007-06-04 00:00:00,0.74,23.77,-23.03,0.305172,2.18861
2022-10-08 00:00:00,2023-10-08 00:00:00,2022-10-11 00:00:00,2023-10-06 00:00:00,21.55,21.96,-0.41,1.704345,1.310163
2009-01-05 00:00:00,2010-01-05 00:00:00,2009-01-06 00:00:00,2010-01-04 00:00:00,-5.37,24.05,-29.42,-0.31055,0.948976
2016-01-06 00:00:00,2017-01-05 00:00:00,2016-01-07 00:00:00,2017-01-04 00:00:00,13.49,19.27,-5.78,1.75733,1.456772
2008-08-09 00:00:00,2009-08-09 00:00:00,2008-08-12 00:00:00,2009-08-07 00:00:00,-45.85,-19.65,-26.2,-1.851991,-0.257255
2005-12-05 00:00:00,2006-12-05 00:00:00,2005-12-06 00:00:00,2006-12-04 00:00:00,2.64,13.44,-10.8,0.843233,1.31337
2013-11-24 00:00:00,2014-11-24 00:00:00,2013-11-26 00:00:00,2014-11-21 00:00:00,4.98,16.61,-11.63,1.045069,1.502753
2004-07-07 00:00:00,2005-07-07 00:00:00,2004-07-08 00:00:00,2005-07-06 00:00:00,4.57,9.36,-4.79,1.246935,0.895369
2015-04-17 00:00:00,2016-04-16 00:00:00,2015-04-20 00:00:00,2016-04-15 00:00:00,19.24,1.13,18.11,1.997379,0.150892
2016-07-30 00:00:00,2017-07-30 00:00:00,2016-08-02 00:00:00,2017-07-28 00:00:00,7.09,16.88,-9.79,1.215068,2.000533
2006-06-11 00:00:00,2007-06-11 00:00:00,2006-06-13 00:00:00,2007-06-08 00:00:00,4.23,25.53,-21.3,1.340278,2.304382
2010-01-26 00:00:00,2011-01-26 00:00:00,2010-01-27 00:00:00,2011-01-25 00:00:00,-3.5,19.92,-23.42,-0.323904,1.126502
2007-02-07 00:00:00,2008-02-07 00:00:00,2007-02-08 00:00:00,2008-02-06 00:00:00,0.41,-6.56,6.97,0.09007,-0.305731
2004-03-26 00:00:00,2005-03-26 00:00:00,2004-03-29 00:00:00,2005-03-24 00:00:00,4.94,6.08,-1.14,1.400413,0.610409
2021-10-10 00:00:00,2022-10-10 00:00:00,2021-10-12 00:00:00,2022-10-07 00:00:00,7.45,-15.07,22.52,0.501435,-0.622852
2015-06-27 00:00:00,2016-06-26 00:00:00,2015-06-30 00:00:00,2016-06-24 00:00:00,10.73,0.87,9.86,1.106658,0.136516
2005-06-25 00:00:00,2006-06-25 00:00:00,2005-06-28 00:00:00,2006-06-23 00:00:00,2.14,5.44,-3.3,0.575714,0.563163
2024-03-08 00:00:00,2025-03-08 00:00:00,2024-03-11 00:00:00,2025-03-07 00:00:00,10.34,14.09,-3.75,1.480733,1.085135
2002-05-29 00:00:00,2003-05-29 00:00:00,2002-05-30 00:00:00,2003-05-28 00:00:00,-4.09,-9.07,4.98,-0.251875,-0.215904
2006-11-20 00:00:00,2007-11-20 00:00:00,2006-11-21 00:00:00,2007-11-19 00:00:00,5.49,4.13,1.36,0.852382,0.354308
2009-08-18 00:00:00,2010-08-18 00:00:00,2009-08-19 00:00:00,2010-08-17 00:00:00,-7.04,11.73,-18.77,-0.729244,0.693598
2000-08-20 00:00:00,2001-08-20 00:00:00,2000-08-22 00:00:00,2001-08-17 00:00:00,-5.83,-21.43,15.6,-0.380279,-0.975606
2007-09-19 00:00:00,2008-09-18 00:00:00,2007-09-20 00:00:00,2008-09-17 00:00:00,-1.63,-21.88,20.25,-0.092701,-1.071659
2021-11-12 00:00:00,2022-11-12 00:00:00,2021-11-15 00:00:00,2022-11-11 00:00:00,4.7,-13.45,18.15,0.340652,-0.483463
2005-10-07 00:00:00,2006-10-07 00:00:00,2005-10-10 00:00:00,2006-10-06 00:00:00,1.62,15.91,-14.29,0.441913,1.452347
2018-10-04 00:00:00,2019-10-04 00:00:00,2018-10-05 00:00:00,2019-10-03 00:00:00,-8.78,2.91,-11.69,-0.741538,0.255896
2000-10-31 00:00:00,2001-10-31 00:00:00,2000-11-01 00:00:00,2001-10-30 00:00:00,-5.03,-24.56,19.53,-0.297578,-1.117601
2016-11-20 00:00:00,2017-11-20 00:00:00,2016-11-22 00:00:00,2017-11-17 00:00:00,8.57,19.27,-10.7,1.711233,2.630009
2021-03-22 00:00:00,2022-03-22 00:00:00,2021-03-23 00:00:00,2022-03-21 00:00:00,17.08,15.59,1.49,1.397106,1.059982
2012-11-14 00:00:00,2013-11-14 00:00:00,2012-11-15 00:00:00,2013-11-13 00:00:00,12.78,34.33,-21.55,2.687585,2.654053
2021-10-21 00:00:00,2022-10-21 00:00:00,2021-10-22 00:00:00,2022-10-20 00:00:00,2.08,-18.14,20.22,0.205149,-0.769474
2007-01-04 00:00:00,2008-01-04 00:00:00,2007-01-05 00:00:00,2008-01-03 00:00:00,2.38,4.98,-2.6,0.333261,0.386763
2006-07-21 00:00:00,2007-07-21 00:00:00,2006-07-24 00:00:00,2007-07-20 00:00:00,5.45,23.86,-18.41,1.745279,2.227328
2007-05-22 00:00:00,2008-05-21 00:00:00,2007-05-23 00:00:00,2008-05-20 00:00:00,2.91,-5.11,8.02,0.315479,-0.17852
2020-01-07 00:00:00,2021-01-06 00:00:00,2020-01-08 00:00:00,2021-01-05 00:00:00,-19.13,16.59,-35.72,-0.819555,0.629414
2014-08-04 00:00:00,2015-08-04 00:00:00,2014-08-05 00:00:00,2015-08-03 00:00:00,9.83,11.41,-1.58,1.029059,0.963045
2005-07-24 00:00:00,2006-07-24 00:00:00,2005-07-26 00:00:00,2006-07-21 00:00:00,1.59,2.31,-0.72,0.432861,0.266233
2009-08-29 00:00:00,2010-08-29 00:00:00,2009-09-01 00:00:00,2010-08-27 00:00:00,-8.22,8.69,-16.91,-0.8024,0.546089
2000-07-12 00:00:00,2001-07-12 00:00:00,2000-07-13 00:00:00,2001-07-11 00:00:00,-12.51,-20.08,7.57,-0.952899,-0.902969
2021-01-08 00:00:00,2022-01-08 00:00:00,2021-01-11 00:00:00,2022-01-07 00:00:00,13.7,24.72,-11.02,1.377388,1.774009
2016-05-26 00:00:00,2017-05-26 00:00:00,2016-05-27 00:00:00,2017-05-25 00:00:00,8.34,17.37,-9.03,1.332046,1.733978
2001-04-14 00:00:00,2002-04-14 00:00:00,2001-04-17 00:00:00,2002-04-12 00:00:00,16.44,-5.36,21.8,1.688138,-0.19842
2018-04-26 00:00:00,2019-04-26 00:00:00,2018-04-27 00:00:00,2019-04-25 00:00:00,-11.64,11.69,-23.33,-1.254105,0.825031
2024-06-07 00:00:00,2025-06-07 00:00:00,2024-06-10 00:00:00,2025-06-06 00:00:00,9.44,13.27,-3.83,0.726168,0.718404
2012-01-04 00:00:00,2013-01-03 00:00:00,2012-01-05 00:00:00,2013-01-02 00:00:00,4.79,16.6,-11.81,1.054425,1.270836
2001-11-19 00:00:00,2002-11-19 00:00:00,2001-11-20 00:00:00,2002-11-18 00:00:00,-15.66,-20.05,4.39,-1.320305,-0.734561
2019-05-20 00:00:00,2020-05-19 00:00:00,2019-05-21 00:00:00,2020-05-18 00:00:00,-8.24,5.07,-13.31,-0.292868,0.316488
2017-08-15 00:00:00,2018-08-15 00:00:00,2017-08-16 00:00:00,2018-08-14 00:00:00,4.74,17.12,-12.38,0.588479,1.331174
2019-03-08 00:00:00,2020-03-07 00:00:00,2019-03-11 00:00:00,2020-03-06 00:00:00,0.15,8.85,-8.7,0.073567,0.628425
2005-05-11 00:00:00,2006-05-11 00:00:00,2005-05-12 00:00:00,2006-05-10 00:00:00,0.15,16.34,-16.19,0.067282,1.669786
2016-09-24 00:00:00,2017-09-24 00:00:00,2016-09-27 00:00:00,2017-09-22 00:00:00,9.17,18.05,-8.88,1.583386,2.248519
2002-11-10 00:00:00,2003-11-10 00:00:00,2002-11-12 00:00:00,2003-11-07 00:00:00,-3.45,20.67,-24.12,-0.291,1.150473
2020-02-26 00:00:00,2021-02-25 00:00:00,2020-02-27 00:00:00,2021-02-24 00:00:00,-8.38,34.14,-42.52,-0.288109,1.061575
2019-12-14 00:00:00,2020-12-13 00:00:00,2019-12-17 00:00:00,2020-12-11 00:00:00,-19.82,16.84,-36.66,-0.860792,0.637636
2010-11-28 00:00:00,2011-11-28 00:00:00,2010-11-30 00:00:00,2011-11-25 00:00:00,1.86,0.14,1.72,0.204972,0.116962
2021-12-05 00:00:00,2022-12-05 00:00:00,2021-12-07 00:00:00,2022-12-02 00:00:00,9.05,-11.79,20.84,0.560977,-0.406724
2003-04-20 00:00:00,2004-04-19 00:00:00,2003-04-22 00:00:00,2004-04-16 00:00:00,-4.37,26.59,-30.96,-0.571032,1.942934
2000-07-28 00:00:00,2001-07-28 00:00:00,2000-07-31 00:00:00,2001-07-27 00:00:00,-3.58,-14.57,10.99,-0.240096,-0.598687
2015-05-26 00:00:00,2016-05-25 00:00:00,2015-05-27 00:00:00,2016-05-24 00:00:00,6.8,-0.19,6.99,0.727687,0.071985
2014-10-20 00:00:00,2015-10-20 00:00:00,2014-10-21 00:00:00,2015-10-19 00:00:00,4.51,6.91,-2.4,0.465111,0.526421
2021-02-03 00:00:00,2022-02-03 00:00:00,2021-02-04 00:00:00,2022-02-02 00:00:00,10.21,20.0,-9.79,0.998311,1.455256
2015-09-23 00:00:00,2016-09-22 00:00:00,2015-09-24 00:00:00,2016-09-21 00:00:00,14.75,14.29,0.46,1.9255,0.991132
2022-07-06 00:00:00,2023-07-06 00:00:00,2022-07-07 00:00:00,2023-07-05 00:00:00,19.67,15.78,3.89,1.38861,0.861088
2019-10-25 00:00:00,2020-10-24 00:00:00,2019-10-28 00:00:00,2020-10-23 00:00:00,-17.46,16.21,-33.67,-0.749761,0.625247
2023-05-06 00:00:00,2024-05-05 00:00:00,2023-05-09 00:00:00,2024-05-03 00:00:00,13.74,26.22,-12.48,1.685851,2.107407
2010-08-24 00:00:00,2011-08-24 00:00:00,2010-08-25 00:00:00,2011-08-23 00:00:00,2.5,12.12,-9.62,0.284832,0.720009
2007-10-27 00:00:00,2008-10-26 00:00:00,2007-10-30 00:00:00,2008-10-24 00:00:00,-13.78,-41.93,28.15,-0.755513,-1.490738
